ds,Y
5/4/2023,38823.32031
5/5/2023,38557.10547
5/8/2023,39666.33984
5/9/2023,40021.29688
5/10/2023,39932.55859
5/11/2023,39932.55859
5/12/2023,39932.55859
5/15/2023,39843.82031
5/16/2023,39932.55859
5/17/2023,39755.08203
5/18/2023,39621.97266
5/19/2023,39400.125
5/22/2023,39400.125
5/23/2023,38912.05859
5/24/2023,38601.47266
5/25/2023,38823.32031
5/26/2023,38512.73438
5/29/2023,38956.42969
5/30/2023,38867.69141
5/31/2023,39045.16797
6/1/2023,38956.42969
6/2/2023,39666.33984
6/5/2023,39666.33984
6/6/2023,39755.08203
6/7/2023,39355.75391
6/8/2023,38778.94922
6/9/2023,38557.10547
6/12/2023,38734.58203
6/13/2023,39355.75391
6/14/2023,39045.16797
6/15/2023,38912.05859
6/16/2023,38778.94922
6/19/2023,38423.99609
